Date,Open,High,Low,Close,Volume
12/12/2018,"13,390 VND","13,578 VND","13,296 VND","13,578 VND","55,196,860"
13/12/2018,"13,625 VND","13,695 VND","13,484 VND","13,484 VND","10,887,000"
14/12/2018,"13,390 VND","13,531 VND","13,390 VND","13,460 VND","105,327,400"
17/12/2018,"13,296 VND","13,390 VND","12,873 VND","12,873 VND","46,051,840"
18/12/2018,"12,685 VND","12,920 VND","12,544 VND","12,920 VND","7,130,780"
19/12/2018,"12,873 VND","12,920 VND","12,662 VND","12,920 VND","46,413,220"
20/12/2018,"12,779 VND","13,014 VND","12,732 VND","12,803 VND","2,192,260"
21/12/2018,"12,685 VND","12,826 VND","12,544 VND","12,826 VND","54,247,720"
24/12/2018,"12,826 VND","12,873 VND","12,638 VND","12,638 VND","3,043,540"
25/12/2018,"12,309 VND","12,474 VND","12,121 VND","12,403 VND","7,889,080"
26/12/2018,"12,356 VND","12,497 VND","12,192 VND","12,215 VND","10,488,560"
27/12/2018,"12,450 VND","12,521 VND","12,239 VND","12,239 VND","7,973,100"
28/12/2018,"12,356 VND","12,356 VND","12,145 VND","12,145 VND","7,182,560"
02/01/2019,"12,215 VND","12,239 VND","12,027 VND","12,027 VND","2,858,060"
03/01/2019,"12,074 VND","12,098 VND","11,745 VND","11,745 VND","3,735,160"
04/01/2019,"11,745 VND","11,745 VND","10,923 VND","11,722 VND","6,095,660"
07/01/2019,"11,816 VND","11,980 VND","11,792 VND","11,792 VND","3,206,860"
08/01/2019,"11,816 VND","11,839 VND","11,769 VND","11,792 VND","1,686,340"
09/01/2019,"11,839 VND","12,215 VND","11,792 VND","12,121 VND","6,999,060"
10/01/2019,"12,121 VND","12,192 VND","12,098 VND","12,121 VND","3,328,760"
11/01/2019,"12,145 VND","12,356 VND","12,145 VND","12,215 VND","4,756,922"
14/01/2019,"12,168 VND","12,239 VND","12,098 VND","12,145 VND","7,204,840"
15/01/2019,"12,145 VND","12,450 VND","12,145 VND","12,450 VND","7,589,100"
16/01/2019,"12,497 VND","12,568 VND","12,427 VND","12,450 VND","6,095,160"
17/01/2019,"12,450 VND","12,615 VND","12,403 VND","12,521 VND","6,239,960"
18/01/2019,"12,591 VND","12,662 VND","12,450 VND","12,568 VND","3,277,780"
21/01/2019,"12,638 VND","12,920 VND","12,638 VND","12,873 VND","4,193,460"
22/01/2019,"12,967 VND","12,967 VND","12,591 VND","12,591 VND","5,027,340"
23/01/2019,"12,638 VND","12,638 VND","12,474 VND","12,474 VND","7,239,800"
24/01/2019,"12,544 VND","12,615 VND","12,427 VND","12,521 VND","6,083,340"
25/01/2019,"12,662 VND","12,803 VND","12,521 VND","12,521 VND","5,570,060"
28/01/2019,"12,568 VND","12,591 VND","12,239 VND","12,309 VND","3,728,000"
29/01/2019,"12,309 VND","12,450 VND","12,168 VND","12,450 VND","6,978,038"
30/01/2019,"12,450 VND","12,544 VND","12,356 VND","12,497 VND","4,234,340"
31/01/2019,"12,497 VND","12,497 VND","12,356 VND","12,450 VND","5,256,320"
01/02/2019,"12,450 VND","12,779 VND","12,356 VND","12,779 VND","19,719,380"
11/02/2019,"12,685 VND","12,826 VND","12,591 VND","12,709 VND","8,069,320"
12/02/2019,"12,756 VND","12,990 VND","12,662 VND","12,897 VND","11,915,180"
13/02/2019,"12,897 VND","13,037 VND","12,873 VND","12,944 VND","16,039,840"
14/02/2019,"12,920 VND","12,967 VND","12,803 VND","12,826 VND","4,581,880"
15/02/2019,"12,779 VND","12,990 VND","12,732 VND","12,803 VND","6,752,760"
18/02/2019,"12,826 VND","12,944 VND","12,803 VND","12,850 VND","4,320,900"
19/02/2019,"12,873 VND","13,249 VND","12,873 VND","12,944 VND","15,701,200"
20/02/2019,"12,990 VND","13,061 VND","12,897 VND","12,944 VND","5,521,040"
21/02/2019,"12,967 VND","13,014 VND","12,826 VND","12,920 VND","4,204,240"
22/02/2019,"12,920 VND","13,155 VND","12,873 VND","13,014 VND","12,886,120"
25/02/2019,"13,108 VND","13,155 VND","13,014 VND","13,037 VND","8,078,800"
26/02/2019,"13,014 VND","13,084 VND","12,803 VND","12,897 VND","6,157,240"
27/02/2019,"12,897 VND","12,920 VND","12,709 VND","12,779 VND","9,914,000"
28/02/2019,"12,732 VND","12,779 VND","12,403 VND","12,450 VND","9,691,300"
01/03/2019,"12,497 VND","12,615 VND","12,403 VND","12,497 VND","4,953,360"
04/03/2019,"12,544 VND","12,732 VND","12,544 VND","12,685 VND","5,669,560"
05/03/2019,"12,615 VND","12,779 VND","12,544 VND","12,591 VND","6,715,580"
06/03/2019,"12,591 VND","12,638 VND","12,521 VND","12,591 VND","2,009,900"
